,Sequence,Subpopulation,PlantHeight,Yield
453,322444444,Indica I,171.35454545454544,24.03454545454545
454,322444444,Indica I,171.35454545454544,24.03454545454545
455,322444444,Indica I,171.35454545454544,24.03454545454545
456,322444444,Indica I,171.35454545454544,24.03454545454545
457,322444444,Indica I,171.35454545454544,24.03454545454545
458,322344444,Indica III,131.32,38.676
459,322344444,Indica III,131.32,38.676
460,322344444,Indica III,131.32,38.676
461,322344444,Indica III,131.32,38.676
462,322344444,Indica III,131.32,38.676
463,322341444,Indica Intermediate,117.345,37.47
464,322341444,Indica Intermediate,117.345,37.47
465,322341444,Indica Intermediate,117.345,37.47
466,322341444,Indica Intermediate,117.345,37.47
467,322341444,Indica Intermediate,117.345,37.47
468,322341444,Indica Intermediate,117.345,37.47
469,322441224,Japonica Intermediate,180.8,26.195
470,322441224,Japonica Intermediate,180.8,26.195
471,322441242,Indica Intermediate,164.82999999999998,32.9875
472,322441242,Indica Intermediate,164.82999999999998,32.9875
473,322441242,Indica Intermediate,164.82999999999998,32.9875
474,322441242,Indica Intermediate,164.82999999999998,32.9875
475,322441242,Indica Intermediate,164.82999999999998,32.9875
476,322441242,Indica Intermediate,164.82999999999998,32.9875
477,322441242,Indica Intermediate,164.82999999999998,32.9875
478,322441242,Indica Intermediate,164.82999999999998,32.9875
479,322341222,VI/Aromatic,145.1,24.235
480,322341222,VI/Aromatic,145.1,24.235
481,322341242,Aus,156.9,37.55
482,322341242,Aus,156.9,37.55
483,322341244,Indica Intermediate,172.6,42.82
484,324341244,Temperate Japonica,124.59666666666666,26.16125
485,324341244,Temperate Japonica,124.59666666666666,26.16125
486,324341244,Temperate Japonica,124.59666666666666,26.16125
487,324341244,Temperate Japonica,124.59666666666666,26.16125
488,324341244,Temperate Japonica,124.59666666666666,26.16125
489,324341244,Temperate Japonica,124.59666666666666,26.16125
490,324341244,Temperate Japonica,124.59666666666666,26.16125
491,324341244,Temperate Japonica,124.59666666666666,26.16125
492,324341244,Temperate Japonica,124.59666666666666,26.16125
493,324341244,Temperate Japonica,124.59666666666666,26.16125
494,324341244,Temperate Japonica,124.59666666666666,26.16125
495,324341244,Temperate Japonica,124.59666666666666,26.16125
496,324341244,Temperate Japonica,124.59666666666666,26.16125
497,324341244,Temperate Japonica,124.59666666666666,26.16125
498,324341244,Temperate Japonica,124.59666666666666,26.16125
499,324341244,Temperate Japonica,124.59666666666666,26.16125
500,324341244,Temperate Japonica,124.59666666666666,26.16125
501,324341244,Temperate Japonica,124.59666666666666,26.16125
502,324341244,Temperate Japonica,124.59666666666666,26.16125
503,324341244,Temperate Japonica,124.59666666666666,26.16125
504,324341244,Temperate Japonica,124.59666666666666,26.16125
505,324341244,Temperate Japonica,124.59666666666666,26.16125
506,324341244,Temperate Japonica,124.59666666666666,26.16125
507,324341244,Temperate Japonica,124.59666666666666,26.16125
508,324341224,Temperate Japonica,97.72,23.056666666666665
509,324341224,Temperate Japonica,97.72,23.056666666666665
510,324341224,Temperate Japonica,97.72,23.056666666666665
511,324341222,Japonica Intermediate,159.84,20.043333333333333
512,324341222,Japonica Intermediate,159.84,20.043333333333333
513,324341222,Japonica Intermediate,159.84,20.043333333333333
514,324341242,Temperate Japonica,147.22533333333334,24.400666666666663
515,324341242,Temperate Japonica,147.22533333333334,24.400666666666663
516,324341242,Temperate Japonica,147.22533333333334,24.400666666666663
517,324341242,Temperate Japonica,147.22533333333334,24.400666666666663
